"redni broj","Vrh","planina ili predeo","NV","SGŠ","IGD","sekcija","napomene"
"1","Nebeška","(Arilje, Grivska)","982","43°43,452‘","20°00,595‘","529 3 Cacak","JZ Srb."
"2","Veliki Ostreš","(Arilje, Grivska)","973","43°40,824‘","20°02,355‘","529 3 Cacak","JZ Srb."
"3","Lešcani","(Arilje, Grivska)","926","43°42,935‘","20°01,742‘","529 3 Cacak","JZ Srb."
"4","Mali Ostreš","(Arilje, Grivska)","828","43°41,475‘","20°02,640‘","529 3 Cacak","JZ Srb."
"5","Latvicki gajevi","(Arilje, Latvica)","830","43°41,430‘","20°04,447‘","529 3 Cacak","JZ Srb."
"6","Durmitor","(Arilje, Mirosaljci)","605","43°41,778‘","20°08,717‘","529 3 Cacak","JZ Srb."
"7","Pogled","(Arilje, Pogled)","741","43°44,340‘","20°04,436‘","529 3 Cacak","JZ Srb."
"8","(Krušcica)","(Arilje, Sirogojno, Krušcica)","989","43°41,953‘","19°57,998‘","528 4 Užice","JZ Srb."
"9","(Šuplja jela)","(Arilje, Sirogojno, Krušcica)","955","43°43,558‘","19°58,002‘","528 4 Užice","JZ Srb."
"10","Anatema","(Arilje, Stupcevici)","830","43°40,116‘","20°04,143‘","529 3 Cacak","JZ Srb."
"11","Obla glava","(Arilje, Stupcevici)","803","43°40,201‘","20°05,664‘","529 3 Cacak","JZ Srb."
"12","Veliko brdo","(Arilje, Stupcevici)","750","43°40,699‘","20°06,599‘","529 3 Cacak","JZ Srb."
"13","Ljubina stena","(Arilje, Svrackovo)","619","43°44,884‘","20°01,196‘","529 3 Cacak","JZ Srb."
"14","Gajevi ?","(Bakare)","884","43°40,562‘","20°03,851‘","529 3 Cacak","JZ Srb."
"15","Velji vrh","(Baljevac)","870","43°24,783‘","20°37,029‘","580 1 novi pazar","JZ Srb."
"16","Crni vrh","(Baljevac, Tepce)","983","43°25,490‘","20°33,150‘","580 1 novi pazar","JZ Srb."
"17","Veliki Ostreš","(Beli kamen)","682","43°41,847‘","20°09,840‘","529 3 Cacak","JZ Srb."
