"redni broj","Vrh","planina ili predeo","NV","SGŠ","IGD","sekcija","napomene"
"0","arp","","198","43 20.237333 N","021 51.2233333 E","",""
"1","Nebeška","(Arilje, Grivska)","982","43⁰43,452‘","20⁰00,595‘","529 3 Čačak","JZ Srb."
"2","Veliki Ostreš","(Arilje, Grivska)","973","43⁰40,824‘","20⁰02,355‘","529 3 Čačak","JZ Srb."
"3","Lešćani","(Arilje, Grivska)","926","43⁰42,935‘","20⁰01,742‘","529 3 Čačak","JZ Srb."
"4","Mali Ostreš","(Arilje, Grivska)","828","43⁰41,475‘","20⁰02,640‘","529 3 Čačak","JZ Srb."
"5","Latvićki gajevi","(Arilje, Latvica)","830","43⁰41,430‘","20⁰04,447‘","529 3 Čačak","JZ Srb."
"6","Durmitor","(Arilje, Mirosaljci)","605","43⁰41,778‘","20⁰08,717‘","529 3 Čačak","JZ Srb."
"7","Pogled","(Arilje, Pogled)","741","43⁰44,340‘","20⁰04,436‘","529 3 Čačak","JZ Srb."
"8","(Kruščica)","(Arilje, Sirogojno, Kruščica)","989","43⁰41,953‘","19⁰57,998‘","528 4 Užice","JZ Srb."
"9","(Šuplja jela)","(Arilje, Sirogojno, Kruščica)","955","43⁰43,558‘","19⁰58,002‘","528 4 Užice","JZ Srb."
"10","Anatema","(Arilje, Stupčevići)","830","43⁰40,116‘","20⁰04,143‘","529 3 Čačak","JZ Srb."
"11","Obla glava","(Arilje, Stupčevići)","803","43⁰40,201‘","20⁰05,664‘","529 3 Čačak","JZ Srb."
"12","Veliko brdo","(Arilje, Stupčevići)","750","43⁰40,699‘","20⁰06,599‘","529 3 Čačak","JZ Srb."
"13","Ljubina stena","(Arilje, Svračkovo)","619","43⁰44,884‘","20⁰01,196‘","529 3 Čačak","JZ Srb."
"14","Gajevi ?","(Bakare)","884","43⁰40,562‘","20⁰03,851‘","529 3 Čačak","JZ Srb."
"15","Velji vrh","(Baljevac)","870","43⁰24,783‘","20⁰37,029‘","580 1 novi pazar","JZ Srb."
"16","Crni vrh","(Baljevac, Tepče)","983","43⁰25,490‘","20⁰33,150‘","580 1 novi pazar","JZ Srb."
"17","Veliki Ostreš","(Beli kamen)","682","43⁰41,847‘","20⁰09,840‘","529 3 Čačak","JZ Srb."
"18","Brdo","(Biljevac)","873","43⁰41,095‘","20⁰00,500‘","529 3 Čačak","JZ Srb."
"19","Popovina","(Braneško polje)","803","43⁰47,743‘","19⁰42,787‘","528 1 Užice","JZ Srb."
"20","Lupoglav","(Bratiljevo, Kumanica)","1200","43⁰29,025‘","20⁰11,507‘"," 579 1 sjenica","JZ Srb."
"21","Crni vrh","(Brekovo)","1188","43⁰38,069‘","19⁰59,870‘","528 4 Užice","JZ Srb."
"22","(Bjeluša)","(Brekovo)","1028","43⁰38,135‘","19⁰58,484‘","528 4 Užice","JZ Srb."
"23","Lukića vrhovi","(Brekovo)","1004","43⁰39,060‘","20⁰01,236‘","529 3 Čačak","JZ Srb."
"24","Crkvina","(Devići)","1516","43⁰24,438‘","20⁰25,050‘","579 2 sjenica","JZ Srb."
"25","Oštri vrh","(Devići)","1492","43⁰23,569‘","20⁰25,226‘","579 2 sjenica","JZ Srb."
"26","Dujevica","(Devići)","1341","43⁰25,286‘","20⁰21,473‘","579 2 sjenica","JZ Srb."
"27","Kozjača","(Devići)","1322","43⁰26,241‘","20⁰21,159‘","579 2 sjenica","JZ Srb."
"28","Krlje","(Devići)","1304","43⁰23,945‘","20⁰22,841‘","579 2 sjenica","JZ Srb."
"29","Sedalac","(Dobrače)","1036","43⁰38,829‘","20⁰03,460‘","529 3 Čačak","JZ Srb."
"30","Kovačica","(Dobrače)","999","43⁰39,598‘","20⁰01,621‘","529 3 Čačak","JZ Srb."
"31","Mićovo sjeno","(Gostun)","1083","43⁰10,822‘","19⁰47,099‘","578  4 Prijepolje","JZ Srb."
"32","Oruljak","(Gostun)","1073","43⁰11,433‘","19⁰46,956‘","578  4 Prijepolje","JZ Srb."
"33","Crni vrh","(Gostun, Zahumsko)","1299","43⁰08,023‘","19⁰50,034‘","578  4 Prijepolje","JZ Srb."
"34","Klik","(Granica, Pljevlja)","1336","43⁰23,803‘","19⁰24,132‘","577 2 Pljevlja","JZ gr.S-CG"
"35","Kulaja","(Guča, Kotraža)","831","43⁰40,326‘","20⁰12,778‘","529 3 Čačak","JZ Srb."
"36","Titma","(Guča, Rti)","648","43⁰43,815‘","20⁰15,517‘","529 4 Čačak","JZ Srb."
"37","Račipolje","(Ivanjica)","1047","43⁰33,799‘","20⁰10,853‘","529 3 Čačak","JZ Srb."
"38","Veliki vrh","(Ivanjica)","1031","43⁰33,966‘","20⁰11,680‘","529 3 Čačak","JZ Srb."
"39","Ćava","(Ivanjica)","978","43⁰34,679‘","20⁰10,915‘","529 3 Čačak","JZ Srb."
"40","Oštri vrh","(Ivanjica)","976","43⁰33,889‘","20⁰13,460‘","529 3 Čačak","JZ Srb."
"41","Vis","(Ivanjica)","913","43⁰35,208‘","20⁰12,011‘","529 3 Čačak","JZ Srb."
"42","Bojanski vis","(Ivanjica, Brezova)","1034","43⁰31,825‘","20⁰04,862‘","529 3 Čačak","JZ Srb."
"43","Božac","(Ivanjica, Budoželja)","1281","43⁰32,718‘","20⁰19,111‘","529 4 Čačak","JZ Srb."
"44","Drvnik","(Ivanjica, Budoželja)","1105","43⁰33,694‘","20⁰18,441‘","529 4 Čačak","JZ Srb."
"45","Stolovak","(Ivanjica, Dobri do)","1298","43⁰30,906‘","20⁰23,364‘","529 4 Čačak","JZ Srb."
"46","Veliki lom","(Ivanjica, Dobri do)","1286","43⁰29,064‘","20⁰20,636‘","579 2 sjenica","JZ Srb."
"47","Tilova čukara","(Ivanjica, Dobri do)","1228","43⁰31,051‘","20⁰22,255‘","529 4 Čačak","JZ Srb."
"48","Žarac","(Ivanjica, Dobri do)","1199","43⁰30,995‘","20⁰24,236‘","529 4 Čačak","JZ Srb."
"49","Maće","(Ivanjica, Dubrava)","1095","43⁰34,866‘","20⁰05,026‘","529 3 Čačak","JZ Srb."
"50","","(Ivanjica, Jolovići)","918","43⁰38,353‘","20⁰15,228‘","529 4 Čačak","JZ Srb."
"51","Lučko brdo","(Ivanjica, Krdžići)","895","43⁰38,516‘","20⁰17,895‘","529 4 Čačak","JZ Srb."
"52","Stragačinsko brdo","(Ivanjica, Kušići, Maskova)","1026","43⁰31,765‘","20⁰03,624‘","529 3 Čačak","JZ Srb."
"53","Teprč","(Ivanjica, Luke)","927","43⁰35,098‘","20⁰16,209‘","529 4 Čačak","JZ Srb."
"54","Ćava","(Ivanjica, Međurečje)","1215","43⁰32,124‘","20⁰08,956‘","529 3 Čačak","JZ Srb."
"55","Crvena gora","(Ivanjica, Međurečje)","1170","43⁰32,159‘","20⁰10,459‘","529 3 Čačak","JZ Srb."
"56","Planiničko brdo","(Ivanjica, Međurečje)","1148","43⁰32,841‘","20⁰07,675‘","529 3 Čačak","JZ Srb."
"57","Kosovićko brdo","(Ivanjica, Međurečje)","1078","43⁰30,401‘","20⁰12,128‘","529 3 Čačak","JZ Srb."
"58","Klikovi","(Ivanjica, Međurečje)","1012","43⁰33,091‘","20⁰10,776‘","529 3 Čačak","JZ Srb."
"59","Opaljenik?","(Ivanjica, Opaljenik)","1173","43⁰31,363‘","20⁰06,553‘","529 3 Čačak","JZ Srb."
"60","","(Ivanjica, Opaljenik)","1165","43⁰31,494‘","20⁰07,219‘","529 3 Čačak","JZ Srb."
"61","Završje","(Ivanjica, Vučkovica)","828","43⁰40,524‘","20⁰18,442‘","529 4 Čačak","JZ Srb."
"62","Rasimeta","(Ivanjica, Vučkovica)","770","43⁰40,124‘","20⁰15,674‘","529 4 Čačak","JZ Srb."
"63","Žuta stena","(Ivanjica, Vučkovica)","751","43⁰41,450‘","20⁰15,614‘","529 4 Čačak","JZ Srb."
"64","Zečija glava","(Komarani)","1272","43⁰ 15,173‘","19⁰ 38,293‘","578 1 prijepolje","JZ Srb."
"65","Neščenica","(Komarani)","1159","43⁰ 16,145‘","19⁰ 41,039‘","578 1 prijepolje","JZ Srb."
"66","Šibut","(Komarani, Kruševo)","1026","43⁰ 1,970‘","19⁰ 4,716‘","578 1 prijepolje","JZ Srb."
"67","Palež","(Kosjerić)","821","43⁰58,935‘","19⁰53,679‘","528 2 Užice","JZ Srb."
"68","Gradina","(Kosjerić)","772","43⁰58,822‘","19⁰55,267‘","528 2 Užice","JZ Srb."
"69","Strmac","(Kremna)","907","43⁰50,571‘","19⁰38,833‘","528 1 Užice","JZ Srb."
"70","Mramor","(Kremna)","866","43⁰51,247‘","19⁰36,810‘","528 1 Užice","JZ Srb."
"71","Prinčevo brdo","(Kumanica)","1034","43⁰28,577‘","20⁰13,470‘"," 579 1 sjenica","JZ Srb."
"72","Cerovo","(Mačkat)","900","43⁰46,649‘","19⁰46,854‘","528 2 Užice","JZ Srb."
"73","Promaha","(Manastir Mileševa)","1311","43⁰ 2,931‘","19⁰ 4,842‘","578 1 prijepolje","JZ Srb."
"74","Vranovina","(Manastir Mileševa)","1113","43⁰ 2,859‘","19⁰ 4,795‘","578 1 prijepolje","JZ Srb."
"75","Titerovac","(Manastir Mileševa)","960","43⁰ 2,354‘","19⁰ 4,520‘","578 1 prijepolje","JZ Srb."
"76","Mazgit","(Nova Varoš)","1259","43⁰28,256‘","19⁰53,097‘","578 2 prijepolje","JZ Srb."
"77","Sjekirica","(Nova Varoš)","1244","43⁰27,893‘","19⁰51,017‘","578 2 prijepolje","JZ Srb."
